rid,key,def
|ime__:input_city|,|「シティー」 の入力|,|カタカナでよく入力する "シティー" などの小さい文字の入った単語は、例えば次のようにキーを押して入力します。ローマ字入力では、[S] [I] [T] [H] [I] [ー]。かな入力では、[し] [て] [Shift] + [い] [ー]。|

|ime__:kana_key|,|カナキー|,|106 日本語キーボードでは、[Ctrl] キー + [Shift] キー + [カタカナ ひらがな] キー。
106 日本語 （Ctrl + 英数） キーボードでは、[Ctrl] キー + [英数] キー。
101 英語キーボードでは、[Ctrl] キー + [Shift] キー + [CapsLock] キー。|

|ime__:end_key|,|End キー|,|106 日本語、101 英語キーボードでは、[End] キー。|

|ime__:yougen|,|用言|,|自立語のうち活用のある品詞。|

|ime__:gokan|,|語幹|,|用言から活用語尾を取った、活用形によって形が変わらない部分。「すごい」 という形容詞の語幹は 「すご」 です。|

|ime__:verb|,|動詞|,|人やものの動作を表す語。活用形により分かれています。|

|ime__:adjective|,|形容詞|,|性質や状態を表す語で、終止形が "～い" のもの。|

|ime__:adverb|,|形容動詞|,|性質や状態を表す語で、終止形が "～だ" になるもの。|

|ime__:sahen_noun|,|さ変 / ざ変名詞|,|単独では名詞となるが、"変化する" "論ずる" のように、さ行やざ行の活用語尾を伴って動詞として使われるもの。|

|ime__:noun|,|名詞|,|ものの名称で、主語や目的語となるもの。|

|ime__:special_noun|,|特殊な名詞|,|名詞、さ変/ざ変名詞以外の特殊な名詞。|

|ime__:etc_part|,|その他の品詞|,|主な名詞以外のもの。|

|ime__:aux_verb|,|助動詞|,|Microsoft IME では、助動詞として単語登録することはできません。
たとえば、「おもしろいらしい」 といった助動詞を含む文は、実際は 「おもしろい」 + 「らしい」 という形容詞と推量の助動詞から構成されています。この場合は、「おもしろいらしい」 という文を 1 つの単語として登録せずに、「おもしろい」 を形容詞として登録することをお勧めします。|

|ime__:del_point|,|削除する位置|,|文字を削除するには、BackSpace キーや Del キーを使います。キーによって削除される文字が違います。
・BackSpace キーを押すと、カーソルの前 (左) の文字が削除されます。
・Del キーを押すと、カーソルのある文字 (右) が削除されます。
つまり、BackSpace キーを使うときは、削除する文字の右にカーソルを移動します。
Del キーでは、削除する文字の左にカーソルを移動します。|
